id,inventory_number,collection_name,inventory_name,inventory_id,inventory_uuid,inventory_extra,image_uuid,image_iiif
116ca5a5-0976-551e-90e8-f19ae6b1bda7,NL-HaNA_1.01.50_1226,1.01.50,,1226,,,,
8e1d003b-7b42-5190-ac15-d8a46cb4371d,NL-HaNA_1.04.01_046_pag.88,1.04.01,,46,,pag.88,,
9bff4cd1-b27e-5a7b-a5f6-08936339eead,NL-HaNA_1.04.01_060_pag.50,1.04.01,,60,,pag.50,,
7cab1d53-2ad6-5068-8bac-a99e1c456dc3,NL-HaNA_1.04.01_136_fol.001,1.04.01,,136,,fol.001,,
4a2a028a-b835-5ebc-8ff5-ba50386d2255,NL-HaNA_1.04.01_136_fol.002,1.04.01,,136,,fol.002,,
7b5a8051-6f0c-58f7-9e69-4c1ba32314c8,NL-HaNA_1.04.01_136_fol.091V-092,1.04.01,,136,,fol.091V-092,,
09971ff3-7c59-5be7-9ad6-18b3c2bbce8d,NL-HaNA_1.04.01_136_fol.100V-101,1.04.01,,136,,fol.100V-101,,
231c9877-f4c7-53e0-9a2d-6602b86b388d,NL-HaNA_1.04.01_136_fol.103V-104,1.04.01,,136,,fol.103V-104,,
aab117e9-d32b-596e-b7ef-d2fa26a1ec94,NL-HaNA_1.04.01_136_fol.108V,1.04.01,,136,,fol.108V,,
3d171522-1cf8-57ff-96c5-8a15c6545e45,NL-HaNA_1.04.01_136_fol.109,1.04.01,,136,,fol.109,,
386fd16a-44dd-5498-aa22-f809ad66e656,NL-HaNA_1.04.01_136_fol.111,1.04.01,,136,,fol.111,,
36ab4418-5fc4-593e-85f2-d5c51545e543,NL-HaNA_1.04.02_01056_fol.224V-225,1.04.02,,1056,,fol.224V-225,,
8ed3b511-b7d6-5694-9caa-9a7bbb7a05eb,NL-HaNA_1.04.02_01118_tussen_fol.411V-411,1.04.02,,tussen,,fol.411V-411,,
b11c1cc1-60d2-57e1-941f-c3fd4accb1a1,NL-HaNA_1.04.02_01159_tussen_295V-296R,1.04.02,,tussen,,295V-296R,,
701db934-8de3-5160-b3b2-34b961037eb3,NL-HaNA_1.04.02_01336_kaart_2_tussen_01.306.307,1.04.02,,tussen,,01.306.307,,
9d11325a-5d15-5c66-bd6a-3fe3a30c3a65,NL-HaNA_1.04.02_01590_P001,1.04.02,,1590,,P001,,
81ee1ef6-86a7-5e10-8d3c-a8dc3593a4f9,NL-HaNA_1.04.02_01615B_kaart_1,1.04.02,,kaart,,1,,
7b75af06-26a8-50ee-a7af-f7e04905fd6b,NL-HaNA_1.04.02_01615B_kaart_3,1.04.02,,kaart,,3,,
027f4a3f-e4e8-59d4-9c79-8f7e60dcbeaa,NL-HaNA_1.04.02_01615B_kaart_4,1.04.02,,kaart,,4,,
3443e078-175b-505f-b600-008447ad7639,NL-HaNA_1.04.02_01921_kaart_1,1.04.02,,kaart,,1,,
bd713b7c-4d4f-594e-98cb-e84127770812,NL-HaNA_1.04.02_02664_1341,1.04.02,,2664,,1341,,
e5c806f6-1147-55f4-a948-fbe4f358de24,NL-HaNA_1.04.02_02986_1903,1.04.02,,2986,,1903,,
872062c5-12f8-5623-9aec-3347f4cd9475,NL-HaNA_1.04.02_03528_tussen_110-111,1.04.02,,tussen,,110-111,,
47522adc-bb2b-5cef-bf56-9af7dc1a30c3,NL-HaNA_1.04.02_09732_183,1.04.02,,9732,,183,,
85d987b8-de23-58e0-bde1-08ecc6afde3a,NL-HaNA_1.04.02_10098A_kaart_1,1.04.02,,kaart,,1,,
1fdbd6c8-152a-5418-9e2c-d247f5ee0222,NL-HaNA_1.04.02_11285_116A,1.04.02,,11285,,116A,,
a9b045a4-eb2c-5e1e-838e-e8aa49ecd128,NL-HaNA_1.04.02_11333_17,1.04.02,,11333,,17,,
4bdad0cd-4fca-555f-9387-39d58a7a5029,NL-HaNA_1.04.02_11333_19_DICHT,1.04.02,,19,,DICHT,,
288baff1-ae91-5171-bffa-f32aec1bdb64,NL-HaNA_1.04.02_11333_19_OPEN,1.04.02,,19,,OPEN,,
527b0a9e-b975-5b49-a020-1ed83a1d0e86,NL-HaNA_1.04.17_361_kaart_8,1.04.17,,kaart,,8,,
4acb1621-37ce-5bb4-8581-e7209fb8defd,NL-HaNA_1.11.01.01_0112_kaart_01,1.11.01.01,,kaart,,1,,
ccc44986-a837-51b7-b1d0-f11518e646f4,NL-HaNA_1.11.01.01_0112_kaart_02,1.11.01.01,,kaart,,2,,
b3278dc2-b092-57db-8a4d-0a12d393caf6,NL-HaNA_1.11.01.01_0112_kaart_03,1.11.01.01,,kaart,,3,,
b87941ed-ea68-513b-b682-de5b193207a9,NL-HaNA_1.11.01.01_0112_kaart_04,1.11.01.01,,kaart,,4,,
4ab167a0-3c94-5f8c-9318-bfb9f698e868,NL-HaNA_1.11.01.01_0112_kaart_05,1.11.01.01,,kaart,,5,,
86dfe5e2-5d0e-5263-9723-a2328c0bbafe,NL-HaNA_1.11.01.01_0112_kaart_06,1.11.01.01,,kaart,,6,,
bb95397e-37ca-5389-9b49-d2d2ab6d34ac,NL-HaNA_1.11.01.01_0112_kaart_07,1.11.01.01,,kaart,,7,,
eb23f6e4-ca97-5436-9c8d-c80472ff99b7,NL-HaNA_1.11.01.01_0112_kaart_08,1.11.01.01,,kaart,,8,,
043f19e6-52d1-5b49-be5e-6a1c83efac40,NL-HaNA_1.11.01.01_0112_kaart_09,1.11.01.01,,kaart,,9,,
ecc38ea2-0171-5d35-b7cb-c7cc4f5d4b76,NL-HaNA_1.11.01.01_0112_kaart_11,1.11.01.01,,kaart,,11,,
3f37172a-43ef-52cd-826f-86c45b7b959a,NL-HaNA_1.11.01.01_0112_kaart_12,1.11.01.01,,kaart,,12,,
4e358437-03ad-5f28-87e7-915a84bac298,NL-HaNA_1.11.01.01_0112_kaart_13,1.11.01.01,,kaart,,13,,
e2ea239e-e03e-5a8f-88f1-2a95146c8212,NL-HaNA_1.11.01.01_0112_kaart_14,1.11.01.01,,kaart,,14,,
1e91ab41-6688-568d-9dc1-4a1a701c7638,NL-HaNA_1.11.01.01_0121_24V-25,1.11.01.01,,121,,24V-25,,
732a82c9-bdf4-5c64-ba30-7e51d869267c,NL-HaNA_1.11.01.01_0121_25V,1.11.01.01,,121,,25V,,
ccbe88d9-905a-5711-a2f2-a5a5c8fafa12,NL-HaNA_1.11.01.01_0121_26V,1.11.01.01,,121,,26V,,
17bbf67f-eaf4-5b0a-a671-ba22c6268672,NL-HaNA_1.11.01.01_0121_41V-42,1.11.01.01,,121,,41V-42,,
06af71a3-1b75-54c8-aae8-0f1fc816d3ee,NL-HaNA_1.11.01.01_0121_59V-60,1.11.01.01,,121,,59V-60,,
e94f6cd1-99ad-56f9-ad90-4078256693e5,NL-HaNA_1.11.01.01_0215_kaart_01,1.11.01.01,,kaart,,1,,
